canonical_or_candidate,observed_form,candidate_type,confidence,suggested_reference_name,reference_similarity,sources,sample_occurrences,first_video,first_timestamp,first_youtube_url,first_context
Al Turkey,Al Turkey,unverified_candidate,medium,,0.8,Whisper; YouTube captions,2,"HasanAbi June 16, 2025 –",00:25:45,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=1545s,know Saudi journalists executed yeah I heard is some dude named Al Turkey right he was like he was talking shit about KSA or not KSA about MBS from a from anonymous account or something and the and they found out via T…
Andrew Yang,Andrew Yang,canonical_or_alias,high,Andrew Yang,1.0,Whisper; YouTube captions,2,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",00:02:37,https://www.youtube.com/watch?v=efOqmjyE1RU&t=157s,"…Strip now, dude, I can't show that what the fuck you said is Okay, never mind It's not there is no blood or to us, but I mean look at this shit Andrew Yang is close to locking down almost universal support among"
Anthony Davis,Anthony Davis,unverified_candidate,medium,,0.714,Whisper; YouTube captions,2,"HasanAbi January 13, 2025 – XianDivyne visits, NBC interview, 60 minutes on Israel, RedNote",00:20:36,https://www.youtube.com/watch?v=dcVUm8Z6wVA&t=1236s,…as well Sean Baker is very polarizing. Did you see tangerine or Florida project? No the yay the unibrow The girl with the unibrow she got the Anthony Davis She got them Anthony Davis is on her face But I see a racist or something. I think she was a racist back in the day. I don't know if she still…
Are Charlie Kirk,Are Charlie Kirk,unverified_candidate,medium,,0.556,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",01:58:02,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=7082s,"This is objectively got to be fascist, right? Like, I suspect that this has got to be fascist. It's also not in the spirit of the original We Are Charlie Kirk. This one actually captures the spirit. I'll be honest."
AustinShow,Austin,canonical_or_alias,high,AustinShow,1.0,Whisper; YouTube captions,2,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,01:30:27,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=5427s,"…shiftiness with a little bit of a floater The rebound Man that rims getting a lot of attention today wake. Oh Man, and if a rims getting attention Austin knows about it That's right, man nil nil here Hey Zero-point scored on 42 shots 2-1 coming away with the first two points first two points of the…"
BBC Persian,BBC Persian,unverified_candidate,medium,,0.583,Whisper; YouTube captions,2,"HasanAbi June 16, 2025 –",04:17:31,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=15451s,"provides news to Iranian audiences in Farsi. Faham Gohbadi is a senior reporter at BBC Persian, and earlier he updated me on what people in Iran are telling him. Many people who have texted me in the past 24 hours, they were complaining a…"
Bear County,Bear County,unverified_candidate,medium,,0.696,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",05:51:08,https://www.youtube.com/watch?v=ncia81WO8dg&t=21068s,"…al interesting test here of Donald Trump and his, and his endorsement. You have a very locally popular politician in this part of the district, Bear County. Now in the Republican side, the numbers work a lot differently. Uh, uh, you know, Bear is a little bit less than half the vote on the Republic…"
Ben Hamas Rhodes,Ben Hamas Rhodes,unverified_candidate,medium,,0.645,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",04:18:23,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=15503s,…aders place bets on currencies and oil prices while people pay more for everything and fear losing jobs of AI that sustains the markets again Ben Hamas Rhodes not appreciative enough of Israel's military goals which is the death and destruction of a country with thousands of years of history culture…
Ben Rhodes,Ben Rhodes,canonical_or_alias,high,Ben Rhodes,1.0,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",04:18:23,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=15503s,Patriots around the world okay Ben Rhodes markets absurdly disconnected from the vast majority of people traders place bets on currencies and oil prices while people pay more for everyth…
Bernard Sanders,Bernard Sanders,unverified_candidate,medium,Bernie Sanders,0.828,Whisper; YouTube captions,2,"HasanAbi October 16, 2019 –",00:26:40,https://www.youtube.com/watch?v=wHzUpCARHQ8&t=1600s,78 year old man by the name of Bernard Sanders by way of brooklyn what a night what a night for Bernie Sanders no I'm gonna lie after the hard thing I was getting really discouraged and re…
Bill Gates,Bill Gates,canonical_or_alias,high,Bill Gates,1.0,Whisper; YouTube captions,2,"2/2 HasanAbi October 6, 2021 – Dave Chappelle on Transgender, Chatter in Jubilee Vid,DUNKEY, FAR CRY",01:01:30,https://www.youtube.com/watch?v=yfHCqfsRUQg&t=3690s,"Remember the third grade when Jeff Bays and Bill Gates came to our school to teach us socialism They also gave us bread good times. Of course, dude Your common with excuse by Afghanistan was really c…"
Bitcoin Reserve,Bitcoin Reserve,unverified_candidate,medium,,0.714,Whisper; YouTube captions,2,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",01:51:07,https://www.youtube.com/watch?v=i8YmtStCJJo&t=6667s,"…storic action to deliver on that promise as you know around the table Yesterday assigned an executive order officially creating our strategic Bitcoin Reserve, I don't know how this works United States"
Bradley Martin,Bradley Martin,unverified_candidate,medium,Bradley Martyn,0.929,Whisper; YouTube captions,2,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",00:20:34,https://www.youtube.com/watch?v=i8YmtStCJJo&t=1234s,"…ffee hour podcast that I did. You got some friends who are into lifting who are in the bro culture, lifting stuff like that. You send them the Bradley Martin podcast because I am a collection of all of those things genuinely, right? I have, I have all of these different interests that I,"
Broadcasting Service,Broadcasting Service,unverified_candidate,medium,,0.564,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",01:39:47,https://www.youtube.com/watch?v=ncia81WO8dg&t=5987s,"…ou're unbossed and unbought and you're not accountable to any corporate entity. Well, that's because I'm accountable to you only. The Piker Broadcasting Service PBS, the People's Broadcasting Service is sponsored by you, the people, and it's for you, the people. That's right. No ads on the broadcast…"
CBS News,CBS News,unverified_candidate,medium,,0.533,Whisper; YouTube captions,2,"HasanAbi October 31, 2022 – South Korea Crowd Crush, Pelosi attack, SCOTUS Affirmative Action, LULA🎮",04:21:42,https://www.youtube.com/watch?v=1L9JH9HO3Bg&t=15702s,"…on counts, including attempted murder. Speaker Pelosi was not home at the time of this attack, but she was allegedly the target. The source tells CBS News the suspect"
Charlie Kirk,Charlie Kirk,canonical_or_alias,high,Charlie Kirk,1.0,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",01:58:02,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=7082s,"…is is objectively got to be fascist, right? Like, I suspect that this has got to be fascist. It's also not in the spirit of the original We Are Charlie Kirk. This one actually captures the spirit. I'll be honest."
Cutie Cinderella,Cutie Cinderella,unverified_candidate,medium,,0.562,Whisper; YouTube captions,2,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",00:28:31,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=1711s,"…right now are memes from Fear Ann, but the episode doesn't come out yet. So you have no idea. You have no idea what we're talking about, but Cutie Cinderella's experiencing a booboo lemon crisis. She did talk about it last week, too, yeah. The American economy might crash because of booboo lemons.…"
Dave Chappelle,Dave Chappelle,canonical_or_alias,high,Dave Chappelle,1.0,Whisper; YouTube captions,2,"2/2 HasanAbi October 6, 2021 – Dave Chappelle on Transgender, Chatter in Jubilee Vid,DUNKEY, FAR CRY",00:11:23,https://www.youtube.com/watch?v=yfHCqfsRUQg&t=683s,"…me that a bunch of neckbeards came up with Now I will have another take on this once I actually watch it Okay, but it doesn't surprise me that Dave Chappelle much like many other fucking Comedians who I grew up with have in their old age kind of lost touch and no longer have that same sharpness and"
Dela Cruz,Dela Cruz,unverified_candidate,medium,,0.706,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",05:51:08,https://www.youtube.com/watch?v=ncia81WO8dg&t=21068s,"Okay. Now Luan, excuse me, uh, Dela Cruz has the endorsement of Donald Trump. Luan actually received more votes in the preliminary. So this is a real interesting test here of Donald Tru…"
Democratic Congress,Democratic Congress,unverified_candidate,medium,,0.562,Whisper; YouTube captions,2,"HasanAbi November 29, 2022 – RAIL STRIKE, US vs Iran ⚽, Liver King isn't natty?, Crowder on Kanye",00:22:37,https://www.youtube.com/watch?v=AYjjdzauaao&t=1357s,"persons all around the fucking country that have done things like this. There's Democratic Congress persons that have, you know, done similar things as well. And then there's the Comet pizza of pedophilia. You know what I mean? The pizza g…"
Does Rhodesia,Does Rhodesia,unverified_candidate,medium,,0.696,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",00:21:51,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=1311s,"…exist. This is like, for me, it's like saying, does Nazi Germany have a right to exist? Or does apartheid South Africa have a right to exist? Does Rhodesia have a right to exist? No, of course not. Um, people have a right to exist. People do exist. Israel currently exists. It's just a matter of, a…"
Drake,Drake,canonical_or_alias,high,Drake,1.0,Whisper; YouTube captions,2,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",00:12:02,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=722s,…u gotta say? If I was on a label you could drop me today I'd be fine with it cause the heart fed my page I want to cease fire Fuck a response from Drake What you willing to risk?
Elon Musk,Elon Musk,canonical_or_alias,high,Elon Musk,1.0,Whisper; YouTube captions,2,"HasanAbi April 3, 2026 –",00:25:18,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=1518s,"…tudied Okay, this man went from uh, this man went from wife guy To top chatter of the past year. Okay on a fan voted contest He was known as mr. Elon musk Then he became known as megafonics wife of phonics Then he became the top chatter And now his fall from grace is here, you know, you live long e…"
Evan Perez,Evan Perez,unverified_candidate,medium,,0.727,Whisper; YouTube captions,2,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",07:05:29,https://www.youtube.com/watch?v=g_ckJoumpP0&t=25529s,"…rtainly does. All right, Caitlin Collins, thanks so much for that. We'll check back with you as you learn more CNN, senior justice correspondent Evan Perez is also with us. And so Evan, is it your understanding that if"
George Floyd,George Floyd,unverified_candidate,high,George Floyd,1.0,Whisper; YouTube captions,2,"HasanAbi August 3, 2026 – back in Michigan",04:51:32,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=17492s,Know I think Initially was black lives matter during coven when George Floyd protests were happening. I had always been pro Police reform pro criminal justice reform. I talked extensively when I was at the young Turks ab…
Greg Abbott,Greg Abbott,unverified_candidate,medium,,0.692,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",05:19:09,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=19149s,"…naire in taxes. Not yesterday, not last week, today. And last week, she got an additional $1.5 million from the same rich donor that bankrolled Greg Abbott. That's the height of hypocrisy. That's why politics has a bad name because there's blatant hypocrisy. And what do you mean your hypocrisy is y…"
Guadalupe County,Guadalupe County,unverified_candidate,medium,,0.571,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",05:51:08,https://www.youtube.com/watch?v=ncia81WO8dg&t=21068s,"…y about a close to a quarter of the vote will come out of these two counties tonight. And there's Dela Cruz leading in both of them. And then Guadalupe County, it's almost the same size of Bear in terms of the vote impact. So Guadalupe really, you know, uh, you know, if you're Luan, frankly, um, you…"
Hunter Biden,Hunter Biden,canonical_or_alias,high,Hunter Biden,1.0,Whisper; YouTube captions,2,"1/2 HasanAbi November 29, 2021 – New Twitter CEO, Ghislaine Maxwell Trial, Omicron Variant",01:18:30,https://www.youtube.com/watch?v=RP8ec-blRTw&t=4710s,"…itter developed. Speak directly with your fans. That's the value that Twitter would bring. That's the currency. So when you look at the series, Hunter Biden, she was private material though, wasn't it? He was a government employee. He wasn't a government employee. He was a dude with a drug problem,…"
Iranian Navy,Iranian Navy,unverified_candidate,medium,,0.522,Whisper,2,"HasanAbi April 3, 2026 –",04:13:04,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=15184s,"So the, the real Iranian Navy that exists is still very much in operation. The IRGC's Navy is still very much in operation. Those are the guys that are pushing the ships thr…"
JD Pond,JD Pond,unverified_candidate,medium,,0.588,Whisper; YouTube captions,2,"HasanAbi August 3, 2026 – back in Michigan",01:47:49,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=6469s,"…is like, yeah, that's right. Hailey Stevens, she's a revisionist. Wait, what DSA caucus would Trump be part of? What do you think? I mean, he is JD Pond, so it would be bread and revolution."
Jerusalem Post,Jerusalem Post,unverified_candidate,medium,,0.571,Whisper; YouTube captions,2,"HasanAbi June 16, 2025 –",04:17:31,https://www.youtube.com/watch?v=VRrPLbDvfbA&t=15451s,"…said that residents of Tehran will pay the price for that, and soon they will pay the price for that. Right after that, there was a report by Jerusalem Post saying that they expect that Israel will ask certain neighborhoods in Tehran to evacuate, and things like that has worried a lot of, especiall…"
Jordan Peterson,Jordan Peterson,canonical_or_alias,high,Jordan Peterson,1.0,Whisper; YouTube captions,2,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",00:39:54,https://www.youtube.com/watch?v=2e9z74OALRs&t=2394s,"It just kind of sucks because like I was so right about Jordan Peterson for so fucking long Okay, and everyone and every single person was like shut the fuck up. He's not conservative. He's a centrist shut the fuc…"
Justice Democrats,Justice Democrats,unverified_candidate,medium,,0.621,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",05:19:09,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=19149s,"…pic. So we're definitely want to give you a chance to respond. Mr. Villa Chevalier, your candidacy did begin in part when a super PAC called Justice Democrats recruited you to run and your campaign has been boosted to the tune of hundreds of thousands of dollars from the super PAC. Mr. Espiot is re…"
Liver King,Liver King,canonical_or_alias,high,Liver King,1.0,Whisper; YouTube captions,2,"HasanAbi November 29, 2022 – RAIL STRIKE, US vs Iran ⚽, Liver King isn't natty?, Crowder on Kanye",05:30:18,https://www.youtube.com/watch?v=AYjjdzauaao&t=19818s,"…hat do agree. What is it? It's lying about the it's lying about it being an achievable natural physique and dumb as to believe it blindly defend liver King's bullshit. Yeah. Rosen on his body's hundreds of hours of hard work and commitment. Yeah. In 2022, the day of social media and TikTok, we're al…"
Mark Levin,Mark Levin,unverified_candidate,medium,,0.667,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",04:29:49,https://www.youtube.com/watch?v=ncia81WO8dg&t=16189s,…omb in there. So they had to be like well Obama did it too. Yeah. Yeah. In March Megan Kelly took the X and accused the conservative commentator Mark Levin of having a micro penis and also give him a catchy Trumpian nickname micro penis mark. It's not catchy. Me too many syllables. Oh you're defendi…
Master Shake,Master Shake,unverified_candidate,medium,,0.64,Whisper; YouTube captions,2,"HasanAbi May 26, 2026 – Stavros Halkias visits, NYC Day 4",04:29:49,https://www.youtube.com/watch?v=ncia81WO8dg&t=16189s,…rk. It's not catchy. Me too many syllables. Oh you're defending Mark Levin. I don't know who Mark. Who is that. He's the guy who is sound. like Master Shake on Fox News is like we got a micro mark yeah oh I'm just saying micro penis is just not from a technical standpoint there's too many syllables…
Mitt Romney,Mitt Romney,unverified_candidate,medium,,0.636,Whisper; YouTube captions,2,"1/2 HasanAbi October 28, 2021 – DELETED VOD, Romney & Sinema being horny, Tucker Carlson Documentary",01:47:52,https://www.youtube.com/watch?v=2e9z74OALRs&t=6472s,…s fuck because like no and's like and's like bad you know she's and's like what it they're like 75 more more men's great like yeah they fuck no Mitt Romney probably like beasts his wife and shit but for sure for sure with that because that's the most current cultural reference he has yeah is break…
Myth,Myth,canonical_or_alias,high,Myth,1.0,Whisper; YouTube captions,2,"1/2 HasanAbi April 18, 2021 - FUNDAY, Looking at Cars with MURAT, P.O. BOX, LSF  FULL VOD",03:23:06,https://www.youtube.com/watch?v=GSFoXDxBzyM&t=12186s,…e it's like it's like mickey blast toys role playing as a character mickey who is role playing uh as uh xqc's role play that uh sounds like fucking myth doing an xqc impression this is the most kajimbo shit he sounds like fucking myth doing uh xqc here i give you my phone here's my phone all right t…
Nancy Pelosi,Nancy Pelosi,unverified_candidate,medium,,0.609,Whisper; YouTube captions,2,"HasanAbi August 3, 2026 – back in Michigan",01:47:49,https://www.youtube.com/watch?v=UF7XaBBLBQo&t=6469s,"…like that they, I mean, this is, this is a part of my theory for change, but like the very fact that they are now making a distinction between Nancy Pelosi and someone like myself where I'm the communist and she's no longer the communist, but then also Trump taking it one step further to make a dis…"
National Guard,National Guard,unverified_candidate,medium,,0.56,Whisper; YouTube captions,2,"HasanAbi January 25, 2026 – Back in LA!",03:42:03,https://www.youtube.com/watch?v=yJw1IWPR9Ms&t=13323s,"…cement is from the local level all the way down All the way up to the federal agencies, right? They're so Heavily fucking militarized that the National Guard, which is a branch of the fucking military has to actually distinguish themselves somehow By putting on reflective fucking vests I understand…"
Nazi Germany,Nazi Germany,unverified_candidate,medium,,0.583,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",00:21:51,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=1311s,"…tion of the indigenous population, uh, as a, as an apartheid state does not have a right to exist. This is like, for me, it's like saying, does Nazi Germany have a right to exist? Or does apartheid South Africa have a right to exist? Does Rhodesia have a right to exist? No, of course not. Um, people…"
New York Times,New York Times,unverified_candidate,medium,,0.714,Whisper; YouTube captions,2,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",05:26:57,https://www.youtube.com/watch?v=g_ckJoumpP0&t=19617s,…just a guy reading the news every day and talking about the news is not that interesting exactly it's like yes oh no Hassan is going to read a New York Times article very dangerously today yeah he's going to say it's time for prison Hassan is jihad like that's the level that it's at send all of that…
New Yorker,New Yorker,unverified_candidate,medium,New York,0.889,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…nd hide yourself from the world, to try and live only inside of city hall or in your armored vehicle, but we always know that to best understand New Yorkers you have to live like New Yorkers, and that's why I'll take the train, I'll get on the bus, I'll ride a bike, I'll walk around because if I'm o…"
New Yorkers,New Yorkers,unverified_candidate,medium,New York,0.842,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",05:36:15,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=20175s,"…d hide yourself from the world, to try and live only inside of city hall or in your armored vehicle, but we always know that to best understand New Yorkers you have to live like New Yorkers, and that's why I'll take the train, I'll get on the bus, I'll ride a bike, I'll walk around because if I'm o…"
North London,North London,unverified_candidate,medium,,0.727,Whisper; YouTube captions,2,"HasanAbi October 16, 2019 –",06:29:25,https://www.youtube.com/watch?v=wHzUpCARHQ8&t=23365s,"…e. And there's no doubt Alan is definitely up, especially now Chase has found something else to spend his money on. No! Edgware, a posh area of North London. And home to the McCarthy's. Mum Niaz is a teacher, but she used to work in fashion. And 12-year-old Romy is a budding musician. So, this is my…"
One US,One US,unverified_candidate,medium,,0.714,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",06:55:20,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=24920s,except for my goat SEMA 726. People shouldn't read too much into the language of the MOU. One US official told me describing the agreement as a political document. What's more important than the actual document is the understandings we have wi…
Operation Epic Fury,Operation Epic Fury,unverified_candidate,medium,,0.488,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",02:56:58,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=10618s,"…well, why are they not doing much damage? And that is because more than 150 Iranian vessels are currently at the bottom of the sea. During Operation Epic Fury, the United States hammered the Iranian Navy, and they had prepared for a possible confrontation with the United States, but not enough bec…"
Paul Pelosi,Paul Pelosi,unverified_candidate,medium,,0.571,Whisper; YouTube captions,2,"HasanAbi October 31, 2022 – South Korea Crowd Crush, Pelosi attack, SCOTUS Affirmative Action, LULA🎮",04:21:42,https://www.youtube.com/watch?v=1L9JH9HO3Bg&t=15702s,"…anger and frustration and hatred for the Democratic Party. That's it. But we're gonna begin this hour with the latest on the shocking attack on Paul Pelosi. As you know, he's a husband of House Speaker Nancy Pelosi. The suspect in the assault is expected to be formally charged later today on counts…"
Pax Islamica,Pax Islamica,unverified_candidate,medium,,0.538,Whisper; YouTube captions,2,"HasanAbi April 3, 2026 –",08:00:49,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=28849s,"…o, I don't even think it was Iran. Yeah. Israel, Germany and Japan. Those are going to be like the three major powers in the world. It's funny. Pax Islamica was great too when he said Iran is going to unite the world of Islam. I'm still waiting for that, but, you know, who's in which you seek to ans…"
President Trump,President Trump,unverified_candidate,medium,,0.667,Whisper; YouTube captions,2,"HasanAbi July 11, 2025 – NYC Day 5, Hasan Minhaj visits, interviewing Mahmoud Khalil",07:05:29,https://www.youtube.com/watch?v=g_ckJoumpP0&t=25529s,"…bitches, bro. Like there are such babies. People don't, people, people don't like me anymore. Understanding after this memo came out, despite President Trump the other day in the cabinet, we're asking, you know, who still cares about this? One thing we know is the MAGA base certainly does. All righ…"
Senator Scott,Senator Scott,unverified_candidate,medium,,0.583,Whisper; YouTube captions,2,"HasanAbi April 19, 2026 –",00:17:41,https://www.youtube.com/watch?v=FyI1n2mp8L4&t=1061s,"…tter than this one machine-raised device Democrats over Israel and parties future outside criticized for campaigning with Schumer Hassan piker Senator Scott on feud with Yale over Hassan piker Yeah, when when the thing when things are going really bad When things are going really really bad just kn…"
South Africa,South Africa,unverified_candidate,medium,,0.609,Whisper; YouTube captions,2,"HasanAbi June 16, 2026 –",00:21:51,https://www.youtube.com/watch?v=M_Gbk-hkNfM&t=1311s,"…rtheid state does not have a right to exist. This is like, for me, it's like saying, does Nazi Germany have a right to exist? Or does apartheid South Africa have a right to exist? Does Rhodesia have a right to exist? No, of course not. Um, people have a right to exist. People do exist. Israel curren…"
Soviet Union,Soviet Union,unverified_candidate,medium,,0.667,Whisper; YouTube captions,2,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",02:00:29,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=7229s,…did among other things like energy She's running on the Maduro plan. We call it the Maduro plan like something straight out of Venezuela or the Soviet Union This announcement is an admission that her economic policies have totally failed and caused Really a catastrophe for our country and beyond tha…
Steven Crowder,Steven Crowder,canonical_or_alias,high,Steven Crowder,1.0,Whisper; YouTube captions,2,"1/2 HasanAbi August 5, 2021 – Crowder gets surgury, Fauci on Delta, Bill Gates on Epstein, ICU Vlogs",00:33:58,https://www.youtube.com/watch?v=3ha9GYJvlrQ&t=2038s,directly sneeze inside of Steven Crowder's transophageal echocardiogram just fucking spit in it dude I mean that's your why are you muzzling yourself how can you breed with all that m…
Supreme Court,Supreme Court,unverified_candidate,high,Supreme Court,1.0,Whisper; YouTube captions,2,"HasanAbi January 20, 2025 – TRUMP INAUGURATION 2 - Electric Boogaloo, Elon Musk salute",08:22:09,https://www.youtube.com/watch?v=vIRVK9Dulsw&t=30129s,"…constitutionally protected right. This is inherently an unconstitutional law. Having said that, having said that, the expectation is that the Supreme Court will not defend the Constitution. This also, attempting to end birthright citizenship is yet another example. So what is wild to me is that th…"
