uploaded_date,video_title,youtube_id,sample_position,timestamp,window,youtube_url,agreement_score,native_segment_count,youtube_segment_count,native_text,youtube_caption_text,possible_names_native,possible_names_youtube,possible_word_or_name_differences,issues,review_priority
2021-06-18,"1/2 HasanAbi June 17, 2021 – The Discord gets Nuked, Joe Rogan, Biden-Putin, Ilhan Omar, Juneteenth!",f5GaIJxQnp0,middle,02:17:29,02:16:59–02:17:59,https://www.youtube.com/watch?v=f5GaIJxQnp0&t=8249s,0.368,9,14,dude come on we murdered more dude we want oh god anyway that's my as my copium voice gun mitz ak vs. they are in snowy condition we are not show chance vremeni na ulytsi minus 6 gradus of pop-up room we will check whether it will work I took such a tool for the logical cleaning of the channel of the steamer is not a veneer so that in any case I'm not going to be in the board near muzzle to avoid rapshares this is a we put both guns to kablatt we put both guns in cold condition see what happened aka 200 the agent…,anyway that's my that's my copium voice gun myths ak versus they are in snowy condition we are now to avoid ruptures let's see what happens this is uh ak-47 air-15 we put both guns super blood we put both guns in cold condition see what happens [Music] academy [Music],,,as → that's; mitz → myths; vs → versus; rapshares → ruptures let's see what happens; a → uh ak 47 air 15,caption disagreement,3
2021-08-06,"1/2 HasanAbi August 5, 2021 – Crowder gets surgury, Fauci on Delta, Bill Gates on Epstein, ICU Vlogs",3ha9GYJvlrQ,middle,01:02:54,01:02:24–01:03:24,https://www.youtube.com/watch?v=3ha9GYJvlrQ&t=3774s,0.596,10,19,"Anyway, let's finish this. This is like getting harder and harder to watch. And I had to tell him what I thought my dream was to give my daughter away at the office and I had to ask her if I didn't come home. But he would give my daughter away on her day. I messed up big time guys. I didn't get the vaccine. That's okay. I'm going to the state. I'm here to get out of this dude literally went through the steps.",boys anyway let's finish this this is like getting harder and harder to watch but last night i've come to the realization that the chances of me not being able to give my daughter away at a wedding it's greater than walking out i had to make a phone call so my 14 year old son and i had to tell him what i thought my dream was of giving my daughter away at the office and i had to answer his permission if i didn't cut him then he would give my daughter away on her day i messed up big time guys i didn't get the vaccin…,,,to give → of giving; ask her → answer his permission; come home But → cut him then,caption disagreement,3
2021-11-14,"2/2 HasanAbi November 12, 2021 – Disturbing Case of the Chief of Police Killer, 🎮ELDEN RING🎮",JeFZt2Hyzqc,first_quarter,01:18:09,01:17:39–01:18:39,https://www.youtube.com/watch?v=JeFZt2Hyzqc&t=4689s,0.638,7,29,the rails bro this is gone off the fucking rails dude how is she gonna bring this back we talked about chickens for like 20 minutes dude okay we're coming to another moment he talks for several minutes about his chickens which is the most verbal he's been since the beginning of his questioning detective could narrow allows this knowing that the more comfortable he is the easier it will be to get him to answer an important question without him thinking about what he is saying,rails bro this has gone off the [ __ ] rails dude how is she gonna bring this back we've talked about chickens for like 20 minutes dude okay we're coming to another moment i think about 15 or 16 chickens or whatever and then we're down to the fourth ends and really all we want when they hatch and have babies sometimes they're well most of the time they'll get the babies no he talks for several minutes about his chickens which is the most verbal he's been since the beginning of his questioning detective quinero all…,,,is → has; fucking → __; we → we've; could narrow → quinero,caption disagreement,3
2022-03-23,"1/2 HasanAbi March 22, 2022 – SCOTUS Senate Hearing, China Boeing 737 Crash w/ Austin, Trump on UA🇺🇦",6UU4mD3d90Q,third_quarter,03:11:18,03:10:48–03:11:48,https://www.youtube.com/watch?v=6UU4mD3d90Q&t=11478s,0.566,23,28,"than they can save in 10 years, just from making them. The carbon rises up as these are massive structures. And then when they rust out and they're gone in 10 years, for certain reasons it's very hard to bury them because of what they're made of, especially the blade. So, you know, but the wind is very intermittent. It doesn't work well. It's the most expensive form of energy. Wait, what? That's, I didn't understand. Did he say, did he say a disposing of renewable energy like producers is very difficult? They're g…",those things than they can save in 10 years just for making them the carbon rises up as these are massive structures and then when they rust out and they're gone in ten years for certain reasons it's very hard to bury them because of what they're made of especially the blade okay so you know but the wind is very intermittent it doesn't work well what's the most expensive form of energy wait what that's i didn't understand did he say did he say uh disposing of renewable energy like producers is very difficult and t…,Don Quixote; Donald Trump,,from → for; fucking → __; fucking → __; is → he's; I → i'd,caption disagreement,3
2023-03-10,"HasanAbi October 16, 2019 –",wHzUpCARHQ8,first_quarter,02:24:02,02:23:32–02:24:32,https://www.youtube.com/watch?v=wHzUpCARHQ8&t=8642s,0.462,7,7,"Ekmeğe bak amına koyayım tam türk ekmeği video. Oh, I'm gonna skirmem we may not This guy's like the most jack dude in Adana, by the way The whoever the guy is in the background like literally the most jack dude in Adana küfür etme for weird Me up to you that such was a fun Lapa gibi bir şey ağzıma sürümem as siktir oğlum. I'm on. Yeah, okay. I'm talking. I'm not him. Sen çok şey Terbiye de çok nazik çocuk su yani","Tomake. Oh, [music] this guy's like the most jacked dude in Alana, by the way. The whoever the guy is in the background. Like literally the most jacked dude in Alda for weird.",,,I'm gonna skirmem we may not → music; jack → jacked; Adana → Alana; jack → jacked; Adana küfür etme → Alda,caption disagreement,3
2025-03-09,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",i8YmtStCJJo,third_quarter,05:00:28,04:59:58–05:00:58,https://www.youtube.com/watch?v=i8YmtStCJJo&t=18028s,0.575,6,17,"Thank you for the shields my fair maiding Dead their tank is kind of ass not gonna lie. They don't have a very good tank Cooked them. This is Where'd he go? God spider-man characters are spider-man characters are frustrating because they like oh Should be able to swing away too fast for you. Yeah, it's true. I'm not very good at aiming",disappear oh my God I get stuck so hard on the dumbest stuff thank you for the shields my fair Maiden super NOA dead their tank is kind of ass not going to lie they don't have a very good tank cooked [Music] them this is they got the drop on you now where'd he go Spider-Man characters are Spider-Man characters are frustrating cuz they like oh oh only 60 seconds left get that support oh no no I what is going on I should be,,,maiding → Maiden super NOA; gonna → going to; because → cuz,caption disagreement,3
2025-03-09,"HasanAbi March 7, 2025 – Noah Kulwin (BlowBack) is still here, 🎮Marvel Rivals🎮",i8YmtStCJJo,late,06:31:01,06:30:31–06:31:31,https://www.youtube.com/watch?v=i8YmtStCJJo&t=23461s,0.619,3,15,"almost. Penny can destroy Wolfie with her webs. Apparently best against Wolverine is Magna. You know how? Why? You can avoid Scarlet Witch Alt if you charge. Well, I got stunned before I could hit her. I would have bubble. Or the Lame Tastic Char, my guy. You're",died no no almost almost see how all you kid I feel fantastic Penny can destroy woli with her webs I'm doing this my way only round enem help no apparently best against Wolverine is mag you know wait how why you can avoid Scarlet Witch Al if you charge well I fantastic I I got uh stunned before I could hit her I would,Lame Tastic Char; Scarlet Witch Alt,Scarlet Witch Al,Wolfie → woli; Magna → mag; Alt → Al,caption disagreement,3
2025-04-19,"HasanAbi April 18, 2025 – Live w/ KNEEPCAP at Coachella",2zzyqxWzQuc,third_quarter,01:17:07,01:16:37–01:17:37,https://www.youtube.com/watch?v=2zzyqxWzQuc&t=4627s,0.397,6,17,I haven't seen it. We've been rented off Amazon for 25 dollars. We're a stupid club. We get it on the 30 bucks for free. That chip-shifting Peter Pan Jeff Bezos. That's my boy. That's our boss. And I reach in at 10 cars. We were persecuted at the hands of the Brits.,"Give me the money. If you haven't seen it, you can rent it off Amazon for $25. If you're a stupid [ __ ] you get it on the dodgy box for free. Make that shape shifting PewDiePie. [Applause] Hey yo, chill. That's my boss. That's our boss. Nintend [Applause] [Music] [Applause] [Applause] in a box. In a box in a box nause. [Applause]",Peter Pan Jeff Bezos,,I → Give me the money If you; We've been rented → you can rent it; dollars We're → If you're; club We → __ you; 30 bucks → dodgy box,caption disagreement,3
2024-11-16,[15/11/2024] –🏀 OTK Gameday Basketball Event ft. HasanAbi,MnCX6pnvxcc,middle,01:30:27,01:29:57–01:30:57,https://www.youtube.com/watch?v=MnCX6pnvxcc&t=5427s,0.854,16,26,"nor collecting that rebound and trying to find a way to the basket. Man, oh man, is this just a f- Massacre on the boards BJP showing that shiftiness with a little bit of a floater The rebound Man that rims getting a lot of attention today wake. Oh Man, and if a rims getting attention Austin knows about it That's right, man nil nil here Hey Zero-point scored on 42 shots 2-1 coming away with the first two points first two points of the day, which is a shock. I Cypher Threading that needle with the assist and look a…",Hassan oh reming out once more Nora collecting that rebound and trying to find her way into the basket man oh man is this just a massacre on the boards BJP showing that shiftiness with a little bit of a floater and EO coming up with the rebound man that Rim's getting a lot of attention today wake oh man and if a Rim's getting attention Austin knows about it that's right man I'm surprised nil nil here h zero points scored on 42 shots R 221 coming away with the first two points first two points of the day which is a…,AustinShow; Cypher Threading; Hey Zero; Oh Man; Oh What,AustinShow; Cipher PK,nor → Hassan oh reming out once more Nora; a → her; to → into; rims → Rim's; rims → Rim's,known name variant,2
2026-04-05,"HasanAbi April 3, 2026 –",aPgeOA4mWqg,third_quarter,06:09:28,06:08:58–06:09:58,https://www.youtube.com/watch?v=aPgeOA4mWqg&t=22168s,0.898,10,22,"for example, you know, majority report, Sam Cedars Jewish, Emma Viglent is a white woman. You can't make that same argument about them. You can make it. However, about Zoram, I'm Donnie, you can make that argument about Abdul El Sayed. You can make that argument about myself. And that is because there is a lot of unexamined Islamophobia. I don't talk about it too much because like I said, you just got to fucking eat it, you know, but there are instances where I have to bring this up because it's totally allowed to…","[ __ ] mind."" Emma Vigland for example you know majority report Sam Cedar is Jewish Emma Vigland is a white woman you can't make that same argument about them you can make it however about Zoramani you can make that argument about Abdul sayed you can make that argument about myself and that is because there is a lot of unexamined Islamophobia. I don't talk about it too much because like I said, you just got to [ __ ] eat it, you know? But there are instances where I have to bring this up because it's totally allow…",Abdul El-Sayed; Emma Viglent; Sam Cedars Jewish,Emma Vigland; Jewish Emma Vigland; Sam Cedar,Cedars → Cedar is; Viglent → Vigland; Zoram I'm Donnie → Zoramani; fucking → __; the → that,known name variant,2
2021-05-11,"2/2 HasanAbi May 10, 2021 – 90 DAY, yelling at tweets about the Israel-Palestine situation FULL VOD",efOqmjyE1RU,early,00:02:37,00:02:07–00:03:07,https://www.youtube.com/watch?v=efOqmjyE1RU&t=157s,0.703,5,12,"Or even the Zionists of my school think what Israel what Israel's doing is fucked terrible fucking take The bombing of civilian homes in Gaza Strip now, dude, I can't show that what the fuck you said is Okay, never mind It's not there is no blood or to us, but I mean look at this shit Andrew Yang is close to locking down almost universal support among",[ __ ] terrible [ __ ] tank the bombing of civilian homes on gaza strip now dude i can't show that what the [ __ ] you said jesus christ okay never mind it's not there is no blood or tos but i mean look at this [ __ ] andrew yang is close to locking down almost universal support among leaders of new york city's ultra,Andrew Yang; Gaza Strip,Andrew Yang,fucking take → __ tank; in → on; is → jesus christ; to us → tos,lower caption agreement,1
2021-06-13,"1/2 HasanAbi June 12, 2021 – E3!, Mormon Church REACT, Guess Whos the Sex Worker & Cheerleader REACT",Z8_DfMXbL1Q,early,00:09:37,00:09:07–00:10:07,https://www.youtube.com/watch?v=Z8_DfMXbL1Q&t=577s,0.73,8,26,"today. It is Saturday June 12th, 2021 1125 a.m. And I'm a I'm a little late. I got shouldn't drop them things that get harassed for just living. Am I wrong for that? Okay. That was that was a quick start boys. Playing saying slurs imply something beyond just simple political disagreements for my CRT. You haven't mixed anything with a three minutes. I've been almost 30 minutes of nothing happening with Ubisoft because Ubisoft's like actual game starts. Actual conference starts at 12 not at looking good at 11. 11 is…",it is saturday june 12th 2021 11 25 a.m and i'm uh i'm a little late i got a question i dropped my friends because they use slurs and iron agree with it but they are saying that i shouldn't drop them because of politics i have black and by friends that get harassed for just living am i wrong for that okay that was uh that was a quick start boys uh hassle chat playing saying slurs [Music] implies something beyond just uh simple political disagreements hey sorry for my crt you haven't missed anything with e3 it's be…,Saturday June,,1125 → 11 25; a → uh; imply → Music implies; mixed → missed; a three minutes I've → e3 it's,lower caption agreement,1
2021-07-05,"[4/07/2021] – Hasan goes offline early, chat seeks refuge with Mizkif (Poki Roomtour/OKBUDDY/Crypto)",7jG9CBFRHQE,middle,00:53:54,00:53:24–00:54:24,https://www.youtube.com/watch?v=7jG9CBFRHQE&t=3234s,0.654,11,26,"How about now all right, let's say let me call E-Rub he wouldn't E-Rub Are you coming here? It's when you start doing that you grew up so fast. I'll see you here. Well, you you promise All right, do you need to know my address? How much longer? Like 30 minutes. Okay. Bye Holy fuck Dude, I stole what pokeman's doing chat. I'm gonna start having stickers so she gets these stickers Shift to her dude. I can't say that three times fast or she shifts out stickers to viewers So I'm doing the same exact thing. So Synax ge…",about that that's what fire pits are made for hey rob yo are you coming here yeah i'm showering and i'm coming since when you start doing that every day man you grew up so fast all right i'll see you here wait are you you promise yes all right do you need to know my address no how much longer like 30 minutes yeah i'd say about 30 minutes okay everybody bye holy [ __ ] again oh and a mod just offered for you to message them thank you robin dude i stole what pokeman's doing chat i'm gonna start having stickers so sh…,Bye Holy; Rub Are; So Synax,,It's → yeah i'm showering and i'm coming since; Well → wait are; Shift → uh shipped; shifts → ships,lower caption agreement,1
2021-07-27,"1/2 HasanAbi July 26, 2021 – Hachubby Shake Shack Drama, DaBaby dodges shoe, DELTA Variant spreads",In2iYbpNHp8,first_quarter,00:55:48,00:55:18–00:56:18,https://www.youtube.com/watch?v=In2iYbpNHp8&t=3348s,0.677,6,18,defaming him by letting him talk do and lift his mind tricks get him to fucking say would you ever talk to hogs on stream yes happy to be here another day Texas will retake the state anyway yeah all right let's finish this video I work the Haberberger girls a cashier I gotta say this cashier wasn't in the wrong at all you know how fucking you know it is people standing there giggling fucking around just order your damn food and go play somewhere else but someone said that,doing left his mind tricks get him to [ __ ] say would you ever talk to hogs on stream yes happy to be here another day texas will retake the state anyway yeah all right let's finish this video not for real like he was she was trying so hard to speak to him but he was getting instead of being patient he was getting annoyed i work with the habitburger girls the cashier i gotta say this cashier wasn't in the wrong at all you know how [ __ ] you know it is people standing there giggling and [ __ ] around just order,,,fucking → __; Haberberger → habitburger; a → the; fucking → __; fucking → and __,lower caption agreement,1
2021-08-26,"2/2 HasanAbi August 25, 2021 – SupCaitlin visits, Ranking Streamers, Sodapoppin Incel Arc, Joe Rogan",jkDIp853GTA,late,03:48:06,03:47:36–03:48:36,https://www.youtube.com/watch?v=jkDIp853GTA&t=13686s,0.769,13,25,"Hey, man. Hey, uh, you know watch this video on black lives matter, bro Like can you make your black friend watch that? I thought it was at least like a fucking new video Hey, you want to watch people fucking getting Racist attacks You fucking weirdos Much Okay, watch this this is meme. Okay, dude. You want me to watch fucking. Oh here Here yeah, this is okay. This is the last thing we're gonna watch. Okay Now he's not famous. I'm out and I'm feeling you know, you're in trouble. Why oh shit that crypto shit this i…",white people dude i swear to god hey man hey uh you know watch this video on black lives matter bro like can you make your black friend watch that i thought it was at least like a [ __ ] new video hey you want to watch people [ __ ] uh getting racist attacks i mean it's whatever you [ __ ] weirdos dude okay watch this this is meme okay dude you want me to watch the [ __ ] oh here yeah here yeah this is okay this is the last thing we're going to watch okay [ __ ] famous you're in trouble why oh [ __ ] that crypto […,Hey Hey; Much Okay; Okay Now,,fucking → __; fucking → __ uh; fucking → __; Much → dude; fucking → the __,lower caption agreement,1
2021-09-14,"2/2 HasanAbi September 13, 2021 – AOC at the MET GALA, Making fun of Preppers, OKBUDDY",MmJgjK3Zsy4,third_quarter,03:34:32,03:34:02–03:35:02,https://www.youtube.com/watch?v=MmJgjK3Zsy4&t=12872s,0.759,15,19,"How does that even happen, dude? 400. I'm not sure if you saw this. This one's going to get people roaring, dude. Who wrote Daz Capital? We saw this already. Carl Marx! So sad to see these teenage dads. This was ill prepared. They didn't go this far. No, it's nice because Assange's helicopter pad is really dirty. So we're going to put that this towards the, you know, nice new concrete ground on it. Thank you. Oh wait! Son of a bitch, dude.",four straight games lost how does that even happen dude not sure if you saw this this one's going to get people roaring dude who wrote daz capital we saw this already we i we did see this supposed to had to see these teenage dan dads oh wait yeah you get this this was ill prepared no it's nice because hassan's uh helicopter pad is really dirty so we're gonna put that this towards you know concrete ground on it thank you oh wait son of a [ __ ] dude,Carl Marx; Daz Capital,,Assange's → hassan's uh; going to → gonna; bitch → __,lower caption agreement,1
2021-10-07,"2/2 HasanAbi October 6, 2021 – Dave Chappelle on Transgender, Chatter in Jubilee Vid,DUNKEY, FAR CRY",yfHCqfsRUQg,middle,01:53:53,01:53:23–01:54:23,https://www.youtube.com/watch?v=yfHCqfsRUQg&t=6833s,0.728,5,12,"Why is it you run ads? Because your mommy wants me to. But what the fuck? What's going on? So much content has comfy. I just like break my fucking Google Chrome for a second. Was there as well? How do you have a three out of five on wiki feet? Dude, I don't know. I myself just made some dollars with my three. You provide financial advice for retirement for when I am 178. I'm having I'm having for some reason, just turn your turn your thing into auto.",what's going on so much content has comfy i just like bricked my [ __ ] google chrome for a second okay was there as well okay why do you have a three out of five on wiki feet dude i don't know i myself just made some dollars with my three you provide financial advice for retirement for when i am 170,Google Chrome,,break → bricked; fucking → __; How → okay why,lower caption agreement,1
2022-02-04,"2/2 HasanAbi February 2, 2022 –MasterChef S06, Old clips from Spain, Murats IRL cam setup, 🎮Pokémon🎮",8dzD6DLGUTA,late,04:07:19,04:06:49–04:07:49,https://www.youtube.com/watch?v=8dzD6DLGUTA&t=14839s,0.776,4,8,"Electrode. Oh shit. What the fuck? Dude, the follow-ons are fucking annoying dude. It never goes away It's like forever And now it's faster",oh [ __ ] what the [ __ ] dude the follow ones are [ __ ] annoying dude it never goes away it's like forever now it's faster [ __ ],,,ons → ones; fucking → __,lower caption agreement,1
2022-03-03,"2/2 HasanAbi March 1, 2022 – Biden State of the Union, 🎮Elden Ring🎮",xlKXxrwRKak,third_quarter,04:36:03,04:35:33–04:36:33,https://www.youtube.com/watch?v=xlKXxrwRKak&t=16563s,0.755,9,17,"Stop stop get away get away get away get away get away wait. Oh Jesus Christ Get away Jump. Oh shit that thing fucks up That thing fucks you up. That thing fucks you up Oh I'm stuck. I'm stuck. I'm stuck. I'm stuck. I'm stuck in a tree I'm stuck in a tree Okay, get away. What the fuck am I doing? I'm trying to fucking run away so I can heal behind the fucking that was insane",oh how how get away get away oh jesus christ get away jump jump oh [ __ ] that thing [ __ ] up the freak [ __ ] you up that thing [ __ ] you up no oh i'm stuck i'm stuck i'm stuck i'm stuck i'm stuck in a tree i'm stuck in a tree okay get away what the [ __ ] am i doing i'm trying to [ __ ] run away so i could heal behind the [ __ ],Oh Jesus Christ Get,,Stop stop → oh how how; fucks → __; That thing fucks → the freak __; fucks → __; fucking → __,lower caption agreement,1
2023-03-10,"HasanAbi October 16, 2019 –",wHzUpCARHQ8,middle,04:26:44,04:26:14–04:27:14,https://www.youtube.com/watch?v=wHzUpCARHQ8&t=16004s,0.765,11,32,"A little it's really like it's high-grade, right? Really clean flavor. Yeah, put it on there. Yeah On the bread. Wow, look at that You're supposed to eat that with honey. It's just it's like a butter kaimak. It's like a yogurt butter combination kind of or cream Oh, what is this a black honey? Like a honey, okay, so I'll mix it with a nice honey. It's like a perfect mixture between Creamy and sweet with this soft bread. Wow That is amazing The thing with eggs tomato and sausage is called men and men like many men…","Really clean flavor. Yeah. Put it on there. Yeah. Chalding. Chalding. Is that good? Is that good? This is like a milk butter. Kyak on the bread. Wow. Look at that. You're supposed to eat that with honey. It's just It's like a butter kyak. It's like a yogurt butter combination kind of or cream. Honey. O. What is this? A black honey. We just call it honey. like a honey. Okay. I mean, you you're talking about the kind. What kind of honey? So, I mix it with a nice honey. It's like a perfect mixture between creamy and…",Wow That; Yeah On,,kaimak → kyak; Oh → Honey O; I'll → I; men and men → menmen; and men The heaney → tahini,lower caption agreement,1
2024-08-17,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",hEWLqoJ5ooc,early,00:12:02,00:11:32–00:12:32,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=722s,0.761,32,29,I submit it to be anti-tying Assessing Jewish brothers and sisters out there by Then in solidarity and screaming free Palestine With the organizing and learning And finally cutting stars with the spate This gutter by log on a part-time system To uphold and occupy in violent history Been repeating for the last 75 The knock but never ended The colonizer lied It's students' intents Post it on the law Occupying the quad is really against the law And the reason to call in the police and their squire Where does genocide…,Palestine to their home at last we see the LI claiming a STI submited to the anti Jewish brothers and sisters out there then in solidarity and screaming Free Palestine with them organizing and learning and finally couldn't St with this fate that's got to rely on a part TI system to upholding occupying violent history been repeating for the last 75 the knock but never ended the colonizer lied it's students intense posted on the law occupying the quad is really against the law no reason to call in the police and s w…,Assessing Jewish; Drake; Drake What; Palestine With; Undecided You,Drake; Free Palestine,I submit it → Palestine; the → them; cutting stars → couldn't St; gutter by log → fate that's got to rely; time → TI,lower caption agreement,1
2024-08-17,"HasanAbi August 15, 2024 – Harris economic policy, Trump press conference, Black people & Palestine",hEWLqoJ5ooc,first_quarter,01:05:03,01:04:33–01:05:33,https://www.youtube.com/watch?v=hEWLqoJ5ooc&t=3903s,0.731,6,17,"openly, openly demonstrate their contempt for the working class. The only people, the only people who hate this are who hate this policy, massive corporations. These are just your standard extremist centrist in Zionist, including old hate Kay Hivers who are just attacking anyone on their left. Now the Harris is coming from position of strength. It's an effort to ignore the left and propel sign protesters. Thankfully, I think Harris is smarter than our bigger supporters. Yeah, I will see. We'll",class the only people the only people who hate this are the only people who hate this policy massive corporations anyway these are just your standard extremist Centrist and designist including old kivs who are just attacking anyone on their left now the Harris is coming from position of strength it's an effort to ignore the left and pro Palestine Pro SS thankfully I think Harris is smarter than her bigger supporters yeah I we'll see we'll see we'll see I mean I look I'm going to wait and see I'm going to,Kay Hivers,Palestine Pro SS,in Zionist → and designist; hate Kay Hivers → kivs; propel sign protesters → pro Palestine Pro SS; our → her; will → we'll,lower caption agreement,1
